record_nickname,age,gender,education,education_region,month_salary,region,race,maritial_status,applicants_number,has_appeal,is_family_apply,has_children,education_type,industry_sector,occupation,visa_type,sg_working_months,tax_times,application_times,application_start_date,application_end_date,additional_detail,result,c_time,m_time,uuid,source
xhs的momo,,,2,0,,0,,,1,FALSE,FALSE,FALSE,1,,,,,,2,2024-01-26,2024-11-11,"PR二次被拒，究竟要怎样啊… 15年来新加坡，考了AEIS
读了政府中学，JC，现在在NTU
考完O水准申了一次，当时成绩也不差
被拒
考完A水准又申（26/01/2024）
还是被拒（11/11/2024）
身边同学都拿到了，到底哪里出问题了啊🫠
	
#新加坡[话题]# #pr申请[话题]#",2,1732013078113,1732013078113,1f149b12-e4d4-4ee8-ba75-5a36502e631d,2
请输入名字,25,0,3,0,0,1,0,0,1,FALSE,FALSE,FALSE,,4,,,,1,1,2024-05-01,2024-11-09,25岁中国未婚男 top3本+NUS硕 金融行业工资不高 第一次交税后申请 差不多六个月杯具 感觉现在中国人申pr的难度明显变大了,2,1731852120000,1731852120000,d8218b8b-f378-4940-afd3-89dd6aaf3223,1
xgr,29,1,3,0,40000,3,3,1,3,FALSE,TRUE,TRUE,,,,7,22,,1,2024-02-01,2024-11-01,"香港人，夫妻➕女儿，OnePass +DP&LOC+DP, base salary 40K, 夫妻均持QS全球排名前50高校本科+硕士学历。来新满12个月后申请，10个月后通过。",1,1731803160000,1731803160000,053c8804-1e05-469b-b3b5-59850af247d4,1
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-04-19,2024-11-12,"传说中的四条线!!! 等了7个月，也忍了公司很久很久
终于轮到我了!!!!😆
	
记录留给各位参考
20240419 申请
20240719 搬家+加薪 写信
20241030 ICA email 要求补薪水单
20241106 在 ICA app 补交文件
20241112 刷到 四条线 + 不能重新申请
#新加坡pr申请[话题]# #pr四条线[话题]#",1,1731832719835,1731832719835,f592e5db-c64e-4199-93a4-6c544e506aa3,2
xhs的momo,24,,1,0,,0,,,1,FALSE,FALSE,FALSE,,,,1,,,3,2024-02-20,2024-11-14,"是不是过了？ 今天刷到了4条线+ 不能重新申请
	
时间线：
2/20/2024-申请
11/14/2024-4条线
	
这是申请的第3次，
15年在新加坡，小学，中学，poly都在新加坡读的
	
考过 PSLE，OLEVEL
因为之前签了 Tuition grant , 需要在新加坡工作3内
所以能s pass 工作了一年才申请的pr
家庭背景 ：
继父 新加坡人
姐姐pr
妈妈 LTVP
	
因为之前失败了2次，都是等了1年以上，所以这次申请心情挺忐忑的 但结果也是好的🤍
#新加坡[话题]# #新加坡pr[话题]#",1,1731832719835,1731832719835,0e409597-53ea-4c86-9d8c-20bcab60fcad,2
xhs的momo,,,,,,0,,,4,FALSE,TRUE,FALSE,,,,3,,,,2024-06-14,2024-11-12,"等待是漫长啲，希望得到祝福 一家四口，靠吾家老板一人的身份带我们三口进入与融入另外一个家园。
老板是 Sponsor,其于三口是 Ltvp。
14/06/2024 - Submission
12/11/2024 - Sponsor 4 条线 + 不能申请
未完待续
	
#新加坡pr申请[话题]#
#PR[话题]# Sponsor",1,1731832719835,1731832719835,f122b632-5868-459c-8036-c78795d1632f,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,1,2024-01-29,2024-10-23,"第一份工作，第一次申请，第一次通过 恭喜这位申请人！等待期间没有被要求补交资料，台湾人，来新两年多了，半导体行业，最高学位硕士，开心开心，又添加了一位台湾人，希望陆续会有更多台湾人通过
申请时间：
29.01.2024 - 提交申请
23.10.2024 - 申请通过
	
在ICA系统更新之前都有时间发帖祝福每位申请人，但现在系统更新之后很多申请人的结果更快出了，光是分享通过祝贺的就来不及了，所以只能在此祝各位申请人都好运！",1,1731832719835,1731832719835,66925f3d-7351-4ed9-b7d6-49ae4a554ec1,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-08-08,2024-11-15,"PR上岸 08.08.2024申请 pr+renew ltvp
13.11.2024 盒子不见了
15.11.2024 获批
	
希望把好运🍀传给大家🍀#PR获批[话题]# #新加坡pr[话题]#",1,1731832719835,1731832719835,46d371a5-adaa-4666-8b0a-4a54ea490225,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-06-06,2024-11-16,"*UPDATE* 刷到CPF了！🎉🎊 有没有人能告诉我新的system不能从新申请是不是有很大的机会过了呢?🙏🏼🙏🏼🙏🏼#2024[话题]# PR APPLICATION
	
Timeline:
	
6-6-2024 : Apply PR
18-10-2024 : 找MP写referral letter
8-11-2024 : 刷到4条线
14-11-2024 ：刷到CPF🎊🎉
16-11-2024 : APPROVAL 收到 ICA EMAIL🤞",1,1731832719834,1731832719834,a386dde6-0b1a-4371-8980-16dbaba5d349,2
xhs的momo,,,,,,,,,2,FALSE,TRUE,FALSE,,,,,,,,2024-05-31,2024-09-11,"🇲🇾🇸🇬配偶担保PR 3个月半 成功上岸啦 简单的记录一下[赞R]
当时看到小红书很多被拒的，当时真的是有点担心。
还好有惊无险的成功了。
	
提交日期： 31/05/2024
批准日期： 11/09/2024
	
希望各位正在申请的小姐姐小哥哥也能有好消息哦~~~[加油R][加油R][加油R]
	
#永久居民申请[话题]#  #新加坡永久居民[话题]#   #prapproved[话题]#  #新加坡PR[话题]#  #新加坡PR批了[话题]#",1,1731832719834,1731832719834,243c773b-1a7e-414f-a73a-51bfef9cb8a8,2
胖子,38,,,,,,,,1,FALSE,FALSE,FALSE,,10,中资互联网管理岗,0,,,,2024-03-01,2024-11-15,38岁;EP;中资互联网管理岗;,2,1731613920000,1731613920000,59bd9844-7c53-4b72-ad34-3dfc799d307e,1
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,2,2024-02-01,2024-10-01,"第二次 等了8个月+ 终于批啦 第一次 8/2022 申请 等了一年被拒！
第二次 2/2024 申请 等了8个月拿到！
	
ps：感觉有要补充材料的话 被批的可能性比较大！！（第一次什么都没有直接被拒 第二次拿了近6个月的payslip 后2周就通过啦）
	
㊗️大家好运😝#新加坡pr[话题]# #新加坡申请pr[话题]# #新加坡pr申请[话题]# #新加坡pr申请条件[话题]#",1,1731684062835,1731684062835,e955990c-2d30-47ab-a0dc-86cdd4fb3661,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-07-17,2024-11-15,"🇸🇬新系统PR Unsucessful 爬了很多文 看过approved 看过rejected
是新系统的rejected都是写unsucessful吗？
	
7月17日申请、
11月15日收到email、
outcome letter按了都没办法下载、
也没有被要求补交资料、
	
你们的rejected outcome letter 都是写什么的呢？
	
#pr[话题]# #sg[话题]# #新加坡pr申请[话题]#",2,1731684062835,1731684062835,202681bd-8aec-47f5-9e55-bb0d1ded54ff,2
xhs的momo,,,,0,,0,,1,1,FALSE,FALSE,FALSE,,,,,,,3,2024-05-15,2024-11-12,"刷到4条线啦!!! 我想和大家分享一下我的案件。（仅供参考）
来新加坡18年，小一到大学毕业。期间申请两次（以学生证）都被拒绝，第一次（我估计是因为出生证明没公证），第二次（估计年龄太大，不能当兵）。
这次是我第三次申请，结婚快3年申请的。
申请日期：15/5/2024
被申请人4条线: 15/6/2024
担保人4条线: 4-8/11/2024 (在旅游，那个星期天才去刷，就看到）
刷到CPF: 12/11/2024（早上1-2点没有，9点才出）",1,1731684062835,1731684062835,37057521-c635-4785-acb5-cb128e54513f,2
ialan,30,0,3,0,,1,0,0,1,FALSE,FALSE,FALSE,,10,科技,0,6,,1,2024-01-11,2024-11-12,smu一年硕，申请时工作半年多。科技行业，中国人单身男 30岁。等待10个月整悲剧,2,1731560880000,1731560880000,027a1ed9-5376-4b42-9062-021c5246a85f,1
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2023-11-30,2024-11-14,"离开新加坡4个月之后PR申请才出结果 应该是被拒了，虽然我现在根本登陆不上查询结果的网站，因为Singpass账户已经没有了。
还是有点想看看被拒的内容的，本来我都不想这事了，突然收到ICA的邮件又勾起了我的好奇心。
	
我是23年11月底申请的新加坡PR，24年6月底离开的新加坡（注销EP）。
	
#新加坡PR[话题]#",2,1731592401350,1731592401350,20dd52fd-a8de-4c9c-987e-229764971b12,2
xhs的momo,33,,5,0,,0,,0,1,FALSE,FALSE,FALSE,,10,,0,24,,3,2024-05-20,2024-10-30,"恭喜！IT精英，三战新加坡PR终获批！🎉 👤📝 **申请人背景**：
L先生，33岁，单身人士，拥有新加坡私立大学的degree学历，在新加坡工作刚满两年，从事IT行业。之前自己申请PR两次都未能成功，这次在我们的帮助下，一次通过~🌟
.
📅 **申请时间线**：
- 2024/5/20：提交了PR申请。
- 2024/10/24：刷到四条线
- 2024/10/30：晚上12点申请状态更新为APPROVED！
.
真的为L先生感到高兴，祝愿L先生在新加坡的生活越来越美好，也祝愿所有正在申请PR的朋友们，好运连连，早日获批！🍀 🍀 🍀
.
如果你也在申请PR的路上，不要灰心，专业的力量加上你的坚持，也将很快拿下PR。
﻿#新加坡pr[话题]#﻿ ﻿#新加坡pr申请[话题]#﻿ ﻿#新加坡申请pr[话题]#﻿ ﻿#新加坡绿卡pr[话题]#﻿ ﻿#新加坡绿卡pr[话题]#﻿ ﻿#新加坡永居申请[话题]#﻿ ﻿#新加坡绿卡申请[话题]#﻿",1,1731592401349,1731592401349,ed711999-b158-46a5-89b8-b9cb084489d0,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,,2024-11-12,"新加坡PR手续流程分享（2024年11月） 终于拿到新加坡PR批准啦！ 以下是详细的办理步骤，希望对大家有帮助：
✅ 1. 填写Medishield Life资料
获得PR批准后，首先登录Medishield Life官网填写相关资料，确保医疗保险生效。
✅ 2. 预约ICA面试日期
完成Medishield Life资料填写后，登录ICA官网预约面试日期，选择合适的时间，以便顺利完成后续流程。
✅ 3. 到Kim Loo拍证件照
建议去Kim Loo Photo Studio拍PR证件照，价格合理，服务贴心，Aunty和Uncle人很好，还会协助修图，确保照片符合官方要求。
✅ 4. 在OGL Medical进行体检
前往OGL Medical体检，整个过程约30分钟，周六也营业。体检结束后会收到体检报告，方便快速办理PR手续。
✅ 5. 面试当天前往ICA大楼
在预约的面试当天，携带图二的清单前往ICA大楼5楼，取号排队，完成面试、指纹登记等手续。
✅ 6. 在SingPost领取身份证
隔天登录网站，选择离家较近的SingPost网点。身份证将在7天后送达，领取过程约10分钟，非常便捷。
#新加坡PR[话题]# #详细流程[话题]# #经验分享[话题]##新加坡pr申请[话题]# #新加坡工作[话题]# #新加坡pr四条线[话题]#",1,1731592401349,1731592401349,f852bfd5-d9dc-4c73-abf6-2855bf958d0f,2
xhs的momo,,1,,,,,,,1,FALSE,FALSE,FALSE,,,,6,,,,2024-05-20,2024-11-14,"PR 申请四条线‼️ PR(女) 帮WP(男）申请
	
20号5月🈸
11号6月 submit renew Work Pass
14号11月 今早刷到四条线时非常的激动。
然后也尝试了重新申请也是不能。
	
这样的话会是好结果吗🥹
	
#当然要记录啊[话题]# #新加坡PR[话题]# #新加坡pr申请[话题]# #新加坡工作[话题]# #新加坡[话题]# #新加坡workpass[话题]# #新加坡WP申请PR[话题]# #PR结果[话题]#",1,1731592401349,1731592401349,846b67ba-fd6f-4a47-b2a6-67ce22cbaeb1,2
蜀鼠,24,1,3,1,14480,1,,0,1,FALSE,FALSE,FALSE,,10,IT,0,18,,1,2024-06-01,2024-11-13,24岁中国单身女性，985本，NUS硕，工资90分位，IT行业。在坡工作一年半申请，五个月秒拒,2,1731508020000,1731508020000,eeafb684-27be-4950-8290-d0b1997c0ebd,1
过了,,0,3,1,,1,0,,1,FALSE,FALSE,FALSE,,10,IT,,30,1,2,2023-02-28,2024-11-08,"中国人， 国内本硕，IT。来新不到8个月，交完一次税后第一次提交申请，等了十个月杯具。

目前二次申请，等了11个月通过，在新加坡呆了刚好2年半了，感恩。",1,1731482940000,1731482940000,95718cf6-27c5-44e4-885b-0fca5a45ba12,1
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2023-12,2024-11-12,"#新加坡PR[话题]# #新加坡pr新系统[话题]#
宝宝这边今晚已经收到entry permit和 re-entry permit.而且很神奇 宝宝的竟然都不需要去ICA了。
更新记录宝宝的时间线
2023-12 sponsor老公申请PR
2024-7-10 sponsor新生儿宝宝LTVP+PR
2024-11-7 宝宝这边两个盒子不见了 sponsor老公那边也变成了四条线且不能申请
2024-11-8 宝宝这边让做health declaration
2024-11-12 宝宝这边下午收到让付款 #新加坡PR[话题]# #新加坡pr新系统[话题]#
宝宝这边今晚已经收到entry permit和 re-entry permit.而且很神奇 宝宝的竟然都不需要去ICA了。
更新记录宝宝的时间线
2023-12 sponsor老公申请PR
2024-7-10 sponsor新生儿宝宝LTVP+PR
2024-11-7 宝宝这边两个盒子不见了 sponsor老公那边也变成了四条线且不能申请
2024-11-8 宝宝这边让做health declaration
2024-11-12 宝宝这边下午收到让付款 老公早上刷到了CPF 晚上收到邮件说 宝宝已经是PR了 并且给了EP和REP
	
不懂是不是因为宝宝没有小蓝卡 所以就不需要去ICA了",1,1731507042778,1731507042778,e1b36f03-cf4f-433d-a2bf-66b5db22e94b,2
xhs的momo,30,0,1,5,,5,,0,1,FALSE,FALSE,FALSE,,7,,,,,3,2023-10-01,2024-04-01,"🇸🇬来新12年才拿到PR，太不容易了！ 这是客户第3次申请了，前2次都是自己diy的，然后被拒了。图2是我们帮他拿到PR后，采访他的一些片段。
	
🙎🏻‍♂️客户的基本情况：
男士，30岁，马来西亚人，来新12年，厨师，大专文凭，单身，家人都在马来西亚。
	
⏰申请时间线：
来新时间：2012年9月
申请时间：2023年10月
通过时间：2024年4月
	
❌客户不会英文，也特别担心自己很多资料提交不清楚，通过朋友介绍找我们帮忙申请，然后6个月顺利通过了，传好运呀！
	
✅其实自己网上很多说小伙伴说自己申请就行，但以我们帮忙过3000多个客户申请PR的经验来说，很多客户被拒第一次第二次甚至更多，很多都是因为自己不熟悉材料中要突出哪些重点，比如写推荐信/自荐信里的亮点，还有材料漏交问题、材料格式问题....等等。申请几次被拒，不但浪费了时间，还把自己申请PR的信心耗没了。
	
🇸🇬大家假如对于自己申请没有信心，或者刚被拒了，可以来我们公司见面详细了解我们公司，以及我们做的案例。📍公司地址：10 Anson Road #32-01 International Plaza。可以预约过来当面沟通，第一次沟通不收费，并且后期收费绝对透明，没有任何隐形消费。
	
👩🏻我是安迁
专注新加坡移民10年+
已提交过3000多份申请
新加坡本土企业
只讲干货和大实话！
	
#安迁移民咨询[话题]# #新加坡PR[话题]# #移民[话题]# #新加坡[话题]# #新加坡PR被拒[话题]# #马来西亚人在新加坡[话题]# #EP[话题]#",1,1731507042777,1731507042777,7f864800-b2fc-4d1a-9d13-f89924a6b8fc,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,1,,,,2024-04-05,2024-11-07,"🇸🇬四条线+不能重新申请 初次申请🥹
- 8 March 2024 Submitted Spass
- 13 March 2024 Spass approved
- 14 March 2024 medical checkup
- 26 March 2024 mom issued Spass
- 4 April 2024 collected Spass
- 5 April 2024 applying PR
- 7 Nov 2024 刷到四条线➕不能申请
七个月零两天刷到四条线当下真的很刺激🥹接受审判的感觉☘️希望早日有结果也希望在等待结果的你们早日上岸
	
等待着…⌛️
	
#pr[话题]##singaporePR[话题]##四条线后不能重新申请[话题]##四月份[话题]#",1,1731507042777,1731507042777,6c384d7e-9fc3-494e-b583-7cae4632dd40,2
xhs的momo,,,,,,,,1,1,FALSE,TRUE,FALSE,,,,,,,3,2024-03-21,2024-11-07,"🇸🇬 申请了3次，PR 终于上岸了！✌🏻 之前2次都是自己申请，可是都被拒绝了😩
直到结婚过后，老公担保我申请🙈
	
分享一下流程：
	
21/03/2024 提交申请
01/07/2024 升职加薪
（期间在犹豫要不要更新一下资料🤭)
21/08/2024 更新升职加薪资料
29/10/2024 刷到4条线 + 无法从新申请
07/11/2024 收到✅电邮
	
把好运传给你们大家！🥳
千万不要放弃, 加油呗💪🏼
	
#新加坡PR[话题]#
#终于轮到我了[话题]#
#完成心愿[话题]#",1,1731507042776,1731507042776,0089d2be-2701-4c3d-a98f-6f7771af2560,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,,2024-11-06,PR这是过了吗 昨天下午刷到的四条线➕不能申请 旧系统 请问是过了吗#pr申请[话题]#,1,1731304168873,1731304168873,8e7256ae-d6c2-4abd-ac2e-def44b6d0176,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-07-09,2024-11-06,"🇸🇬PR新系统｜已被拒 上周五刷到Update Employment Detail和Withdraw Application的盒子消失了，听说代表着要出结果了[扯脸H]
在小红书只看到几个新系统之后的申请者，好像大部分都是被拒了[叹气R]好奇问问 有新系统之后申请成功的吗？
	
————————————分割线————————
	
09.07.24 提交申请
01.11.24 两个盒子消失（用小红书教的方法看了outcome release date是06.11.24）
09.11.24 登录系统查看 确认rejected
#新加坡[话题]# #新加坡永久居民[话题]# #新加坡PR[话题]# #新加坡pr申请[话题]#",2,1731163889175,1731163889175,f2f9fa50-a80d-45e5-9f34-edd3e961f358,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-04-16,2024-10-25,"🇸🇬顺利从PIC拿下新加坡永居PR🎉 太开心了！通过PIC, 客户顺利拿下了新加坡PR身份🎉
	
📅 申请提交日期: 16/04/2024
📩 批准信收到日期: 25/10/2024
	
😊客户说他终于可以买房了！重点是不用pay那么多的Property Tax也能享有PR的福
	
#新加坡[话题]# #新加坡EP[话题]# #新加坡移民[话题]# #新加坡PR[话题]# #新加坡PR申请[话题]# #新加坡永久居民[话题]#",1,1731163889175,1731163889175,900257f7-4421-4744-8621-89335204e9a2,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-11-04,2024-11-06,"🇸🇬PR终于批了 经历了两次悲剧，终于在第三次努力中获得意外惊喜！
11/4/2024 提交申请
25/10/2024 收到邮件要求补交公司信
29/10/2024 提交文件
30/10/2024 刷到四条线+不能重新申请
6/11/2024 刷到cpf
8/11/2024 凌晨一点收到邮件通知
	
#新加坡pr申请[话题]#",1,1731163889175,1731163889175,2db8d351-5f6f-4e4c-929a-400869ec3755,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-04-16,2024-10-25,"成功通过PIC申请获得新加坡永居PR🇸🇬 太棒了！客户通过PIC顺利获得新加坡PR身份，终于可以享受更多福利了！
[种草R]申请提交日期：2024年4月16日
[种草R]批准信收到日期：2024年10月25日
客户兴奋地表示，现在可以安心购房，还能享受更低的物业税，真是大大的好处！ [派对R][烟花R]
	
[种草R]想成为新加坡PR吗？我们将为你提供全程帮助！只需在下方留言或评论，我们会尽快联系你，助你实现梦想！[庆祝R][皱眉R]
	
#新加坡[话题]# #新加坡pic[话题]# #新加坡PR[话题]# #新加坡pr申请[话题]#
#新加坡房子[话题]# #新加坡居民[话题]#
#新加坡公民[话题]# #新加坡身份[话题]# #新加坡生活[话题]# #移民申请[话题]#",1,1731163889174,1731163889174,12a9c2dd-72e0-4d7a-89b6-f1daf3e24219,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,内科主任医生,,,,,2024-05-15,2024-10-15,"PR申请成功,内科主任医生半年获批,好运传递 📅【申请时间线】
- 2024/5/15：提交申请
- 2024/8/30：刷到四条线
- 2024/10/10：刷到CPF
- 2024/10/15 中午12点：APPROVED！
.
🌟【申请背景】
这位申请人是一位内科主任医生，拥有30+篇专业论文，并且论文有500+的被引用量。
.
📚【学术文章】
- 引用量达到300+
.
🔍【评审工作】
参与3个以上的评审工作，显示了他在专业领域的影响力和认可度。
.
🌐【行业影响力】
参加业内论坛、峰会、培训，制定专家共识、国家/行业标准等，这些经历进一步证明了他在行业内的重要地位。
.
💼【专业技能】
这位申请人的专业技能非常强，这使得他的PR申请具有一定的优势。不到半年就拿到了PR，真的是非常幸运！
.
💙大家一起来吸吸好运，祝各位准PR都能顺利拿到身份！一起期待好消息的到来！🎉🎉
﻿#新加坡pr[话题]#﻿ ﻿#新加坡pr申请[话题]#﻿ ﻿#新加坡pr四条线[话题]#﻿ ﻿#新加坡申请pr[话题]#﻿ ﻿#新加坡永居[话题]#﻿ ﻿#新加坡永居申请[话题]#﻿ ﻿#新加坡永居身份[话题]#﻿",1,1731163889174,1731163889174,254b911a-4fd6-4fc5-8ce7-f985c3ecf08d,2
xhs的momo,,,3,0,,,,,1,FALSE,FALSE,FALSE,,,,,6,,,2024-03-28,2024-11-05,"新加坡PR四条线终于轮到我了！ 终于终于终于！
分享下时间线：
2024.03.28 申请PR
2024.08.28 收到要求补交父母资料的邮件
2024.08.29 补交父母资料
2024.11.05 刷到4条线且不可重新申请[皱眉R]
	
也分享下bg:
NTU本硕，毕业后工作6个月直接申请。7个月多一点刷到4条线[微笑R]
	
#新加坡PR[话题]#",1,1731163889174,1731163889174,2e41594a-b412-4295-be22-4f572c8ac182,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-04-29,2024-10-24,"🇸🇬PR 6个月终于上岸了 提交申请几个月后 身边同事朋友陆续传来消息有approved 也有rejected
就开始了一日三餐的刷ICA app🥹 终于也迎来了好消息🥳
🍀传一传好运🍀
申请时间线：
29/4/2024 - 提交申请，准备好全部资料才一次过 submit
16/10/2024 (p1 -p3) - 刷到了传说中的四条线，reapply也不能proceed(灰色button）
22/10/2024（p4） - 刷到了CPF里的MediShield life，应该稳了🤞
24/10/2024 (p5) - 收到email说status被更新了，打开一看就显示APPROVED了
接下来就是一些体检和手续需要处理才能正式换证😇
#新加坡[话题]# #新加坡PR[话题]#
#ICA[话题]#",1,1731163889174,1731163889174,27badede-7ac9-4961-8987-0a055a17cb42,2
xhs的momo,,,1,,,,,,1,FALSE,TRUE,FALSE,,,,,,,,2024-04-30,2024-10-24,"🇸🇬 夫妻申请，申请期间有更换工作 恭喜这对夫妻！主申请人来新7年了，最高学历专科，副申请人最高学历SPM，第一次自己带着太太一起申请被拒了，就来问看我意见，我依然建议一起申请，但当时他想尝试看个人申请，毕竟第一次带上太太被拒了，但在准备资料的时候又突然和我说想一起申请（图2），就决定一起申请，结果这次就通过啦~
	
申请时间：
11.01.2024 - 自己申请带着太太申请被拒
30.04.2024 - 提交夫妻申请
26.05.2024 - 通知ICA更新护照
19.07.2024 - 通知ICA更换工作
24.10.2024 - 申请通过
	
我会尽量给申请人蕞高通过率的建议，我觉得你的条件可以，那就才建议一起，而不是要为了收取更高的费用，因为费用也不高，完全没必要。很多人和我说中介让我一家人申请，让我带上孩子，因为这样可以提高通过率（因为多一个人可以加多500甚至更高呀）...是的没错，但前提是要考量你的经济能力，而不是因为以家庭来申请就高通过率
	
祝各位好运~
	
#新加坡PR[话题]# #帮忙申请PR[话题]# #新加坡PR申请[话题]#",1,1730988810057,1730988810057,51b8ffdf-1174-4588-9615-6a4b71e3f2f8,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,,2024-10-26,"新加坡PR四条线了 新加坡PR四条线+可以重新申请
彻底凉了吗，有无奇迹
	
求分享[皱眉R]
	
#图文不符[话题]#",2,1730988810057,1730988810057,9bcc22a6-6403-4114-9cf2-b04c209afa6b,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-05-15,2024-10-31,"🇸🇬 PR提交申请五个月+上岸 🍀传好运🍀
时间线：
15/5/24 - 提交申请
29/10/24 - 偶然刷到四条线 + 不能重新申请
31/10/24 - 凌晨收到email说状态已被更新～刷到了""Approved"" status 🙏
	
在🇸🇬 又有了新身份☺️
	
#新加坡永居申请[话题]#
#新加坡永居身份[话题]#",1,1730988810057,1730988810057,747d3981-66db-4274-82d3-11a20b8267dc,2
xhs的momo,,,,,,0,,,2,FALSE,TRUE,TRUE,,9,公立医院护士,,,,1,2024-01-02,2024-10-29,"Sponsor PR 落地 本人背景，来新10年，公立医院护士，配偶国内体制内医生。疫情期间，自己申请PR一次性过，之后sponsor小孩，小孩没在新加坡出生，也没在新加坡读书。在pending的第10个月ICA邮件要求解释为什么只sponsor了孩子，没有配偶。写了一封信解释，同时也把配偶加入PR申请。上周六刷小孩的申请4条线并且重新能申请，以为悲剧了。ICA发短信提示有变动的时候都不敢打开看，后来看到邮件的时候都不敢相信自己的眼睛，竟然是配偶的IPA letter，在仅仅两个月的时间前提下。两天之后收到了小孩的approve letter，其实小孩的比配偶的提前一天批，但是因为新旧系统交替，旧系统反应的确慢了些。
	
#新加坡sponsor[话题]#PR #新加坡[话题]#  #Lucky[话题]#Few #新加坡生活[话题]# #不是所有的四条线可再申请是悲剧[话题]# #在新加坡的第10年[话题]#",1,1730988810057,1730988810057,3b006b0e-0b7a-455e-a42e-9e118aeb3c9d,2
xhs的momo,,,,,,,,,3,FALSE,TRUE,TRUE,1,,,5,,,,2024-05-06,2024-11-06,"PR确实凉凉了 验证了那句话
四条线+可重审=拒了！！！
条件：自雇EP+2DP，小儿子读政府小学，大儿子读国际学校。在新2年，申请时常6个月。
整理整理，重新出发🛫
#新加坡PR[话题]#",2,1730988810057,1730988810057,7a250fce-cce7-40c5-be8e-ada527792f1d,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-06-12,2024-10-29,"PR 记录一下。12/6之后就时不时登陆ica website检查🤣
接好运，希望不要翻车啊。🙏🏻🤣
	
15/09/2023 上班 WP
04/03/2024 拿到SPASS
12/06/2024 提交PR 申请
29/10/2024 刷到4条线+ 不能提交申请
06/11/2024 刷到CPF
	
#pr申请[话题]# #新加坡pr申请[话题]#",1,1730988810057,1730988810057,409b4c1d-ebee-4296-9107-75a1fa754102,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,未知,2024-11-07,PR被老婆sponsor PR 老婆担保PR申请，突然刷到四条线+不能重新申请。不知道有没有遇到过这样的朋友，希望有好的结果吧。,1,1730988810057,1730988810057,1666b652-2043-4868-b774-aed18ae2b86c,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-03-03,2024-11-07,"🇸🇬pr四条线 今天突然刷到pr四条线➕you have an ongoing application
看xhs说是这样是过了，真的假的，到底稳不稳啊啊[汗颜R]
	
————-timeline—————
3/3/2024 六个月薪水单申请
1/7/2024 换地址update给ICA
?/8/2024 涨了点工资但是嫌麻烦没update
7/11/2024 刷到四条线
	
2023年没交过tax
	
——————————————
	
焦急等待中[皱眉R]
#新加坡[话题]# #pr[话题]# #新加坡pr[话题]#",1,1730988810057,1730988810057,cfabedb3-28c0-4633-83ea-ef4c92b04d50,2
xhs的momo,,,,,,,,,1,TRUE,FALSE,FALSE,,,,,,,,2024-06-24,2024-11-04,"老公PR 凉凉了 ～ 申请时间
24.06.2024 提交申请
04.11.2024 收到被拒电邮
第二次申请， 没有刷到什么三条四条线的， 直接收到拒绝电邮了
好难过 好失望啊 🥺😭
我们再去尝试Appeal 看看，再接再厉吧 💪🏻
希望有我们要的成果 🙃
祝我们好运 ！
	
#PR[话题]# #pr申诉[话题]# #新加坡pr[话题]# #新加坡pr申请[话题]#",2,1730988810055,1730988810055,32d75a94-8c42-424f-b152-9ad8fec455a5,2
台灣人,,,,,15500,2,,,1,FALSE,FALSE,FALSE,,,,0,18,,1,2023-11-09,2024-11-07,"台灣人 來新1.5年申請 中間換公司補件一次 月薪15-16k

2023/11/09申請
2024/11/01 刷到4條線 不可重新申請
2024/11/07 刷到Cpf",1,1730954340000,1730954340000,3d12b61d-75b9-47e4-9011-65a035d07796,1
